M_,Phi_Mean,Phi_Max,Phi_Min
7.25,1.85,2.51,1.43
7.75,1.31,1.71,0.93
8.25,1.36,1.77,1.00
8.75,1.49,1.89,1.15
9.25,1.81,2.21,1.49
9.75,2.53,3.00,2.17
10.25,3.79,4.46,3.32
10.75,5.16,6.06,4.51
11.25,6.38,7.50,5.55
11.75,6.86,8.10,5.97
12.25,6.43,7.47,5.66
12.75,5.33,6.16,4.62
13.25,4.39,5.04,3.86
13.75,3.84,4.45,3.33
14.25,5.44,6.26,4.78
14.75,0.92,2.06,0.32
15.25,5.78,6.89,4.75
15.75,4.75,5.83,4.06
16.25,2.75,3.83,2.06
16.75,1.75,2.83,1.06
17.25,0.75,1.83,0.06
17.75,0.75,1.83,0.06
18.25,0.75,1.83,0.06
18.75,0.75,1.83,0.06
